director,nummovies,Wavgprofit
"Nancy Meyers",4,3145021.0204946822
"Harold Ramis",6,1931063.11191859
"Adam Shankman",4,1425547.76395383
"Peter Faiman",2,1169975.681285012
"Peter Farrelly",2,1098840.81980736
"Thor Freudenthal",4,1093856.820326898
"Gary Winick",4,1005853.0194057721
"Paul Feig",2,941875.114513046
"Sharon Maguire",2,939659.4928083159
"Steven Spielberg",2,845621.678358646
"Brad Silberling",2,832600.3546
"Jason Reitman",2,822161.1725262039
"Peter Lord, Nick Park",2,680563.48223283
"Ivan Reitman",2,644688.352
"Robert Luketic",2,612816.230938814
"Penelope Spheeris",2,597425.820343646
"Michael Bay",2,524805.556609964
"Ken Kwapis",2,516679.827698314
"Lawrence Guterman",2,515384.38139999995
"David Bowers",4,507727.168174626
"Rawson Marshall Thurber",2,504731.287335408
"Rob Reiner",2,475484.93064989
"Steven Brill",2,444210.54924406996
"Jonathan Lynn",4,443109.48756273603
"Mel Brooks",2,428204.9338
"Malcolm D. Lee",2,413502.936811706
"Peter Segal",2,401313.02293201
"Charles Herman-Wurmfeld",2,367542.280022176
"Keenen Ivory Wayans",2,352340.86934120196
"Evan Goldberg, Seth Rogen",2,346296.974649234
"Peter Lepeniotis",2,338937.450517932
"Bill Holderman",2,297838.908737118
"Yorgos Lanthimos",2,289652.593772388
"Ben Falcone",2,279881.39308030996
"Jun Falkenstein",2,278929.13343937596
"Sean Anders",2,262769.80011637596
"Jared Hess",2,246507.07489892398
"Gil Kenan",2,242737.50884474
"Aaron Seltzer, Jason Friedberg(co-director)",2,238630.53268732998
"Spike Lee",6,238036.74780746002
"Forest Whitaker",4,234051.85507250403
"Kevin Munroe",2,223794.83612603598
"Woody Allen",4,207173.632831236
"Christopher Landon",2,202152.00712404598
"Jay Roach",2,181992.551074978
"Chris Koch",2,181146.170506854
"Colin Higgins",2,180225.694734274
"Rob Minkoff",2,168498.092
"Darren Grant",2,164682.547944712
"Kevin Donovan",2,162745.80523425
"Ethan Coen, Joel Coen",2,154434.65516136
"Terry Gilliam",4,150267.672435246
"Jim Fall",2,148477.78973391
"Alan Poul",2,147550.03923935798
"Steve Oedekerk",2,145033.124631122
"Steve Pink",2,137164.26007172
"Kevin Smith",2,124354.76039273
"Ben Stiller",2,120076.798964962
"Michael Lehmann",2,111863.806356666
"David E. Talbert",2,93382.763465012
"Marcus Raboy",2,86178.84365867
"Luc Besson",2,77210.737840082
"David Mirkin",2,72358.30048265
"Thomas Bezucha",2,72112.674220538
"Christopher Erskin",2,70647.436790518
"Tim McCanlies",2,65577.135063132
"Nicole Holofcener",2,64547.402929897995
"Sanaa Hamri",2,63260.524393262
"Gus Van Sant",2,63099.670986435995
"Ken Shapiro",2,60345.437804623994
"John Schultz",2,53301.378731566
"Bob Clark",2,51836.93617298
"Rob Pritts",2,51707.313521206
"Leslie Small, Tim Story",2,49784.017691085995
"Robert Ben Garant",2,43411.562708724
"Kris Isacsson",2,40422.36260062
"Elizabeth Allen Rosenbaum",2,40215.926796905995
"Andrew Fleming",2,39208.20564269
"David Koepp",2,36477.009080455995
"Mark Brown",2,34400.9001329
"Frank Oz",2,32041.688749769997
"Griffin Dunne",2,30538.436684993998
"Deon Taylor",2,30025.891130144
"Miranda July",2,27895.459862927997
"Rick Famuyiwa",2,27144.844819092
"Sam Weisman",2,24668.435686972
"Jon Turteltaub",2,17173.559968768
"Chris Robinson",2,15276.780610126
"Stewart Raffill",2,14928.161720779999
"John Ford",2,14336.989828
"Colin Trevorrow",2,13451.708178636
"Chris Rock",2,11295.83736253
"Ken Wiederhorn",2,11010.705623848
"Todd Solondz",2,10060.262831906
"Kevin Allen",2,9901.398435166
"Jay Chandrasekhar",2,9741.079826632
"Mark Sandrich",2,9498.164186
"Marielle Heller",2,6418.997085774
"Sam Peckinpah",2,4699.8293681079995
"Tom Schulman",2,3673.566097768
"Risa Bramon Garcia",2,3122.5260549
"Clark Gregg",2,2653.0280995539997
"Brett Haley",2,1541.984647924
"Todd Field",2,443.87159335399997
"Judd Apatow",2,-2269.94402439
"Max Nichols",2,-2681.0207608379997
"Barbra Streisand",2,-2683.262518062
"Wayne Wang",2,-6068.689552506
"Whit Stillman",2,-6138.096114401999
"Andrew Mogel, Jarrad Paul",2,-8159.827797268
"Benni Diez",2,-9157.505
"Matthew Bright",2,-9906.614550014
"David Wain",2,-16349.161075646
"Milos Forman",2,-16821.84217973
"John Waters",2,-18749.68013233
"Tom Brady",2,-27364.84105621
"Keith Gordon",2,-27381.866689505998
"Charles T. Kanganis",2,-30238.228030079998
"Scott Marshall",2,-30998.231348041998
"Tim Story",2,-32019.421360612
"Guy Ritchie",2,-34437.18216771
"Damon Santostefano",2,-34540.73523425
"Glenn Ficarra, John Requa",2,-35345.233037506
"Akiva Schaffer",2,-39068.110468198
"George Miller",2,-39810.018556279996
"Sam Mendes",2,-39897.359175968
"Les Mayfield",2,-43461.430817952
"Alexander Payne",2,-49586.164301058
"Neil Burger",2,-50304.127345066
"Jake Kasdan",2,-52725.056648893995
"Penny Marshall",2,-57974.702617202
"Brett Ratner",2,-68391.492759772
"Marcos Siega",2,-70861.590539446
"Steve Boyum",2,-71955.549749748
"Annabel Jankel, Rocky Morton",2,-77491.147969186
"David Gordon Green",2,-87466.48776272399
"Joel Coen, Ethan Coen",2,-91801.610336702
"Danny DeVito",2,-109631.265245698
"Hugh Wilson",4,-150678.273093528
"Frank Coraci",2,-219780.12
